"quote";"author"
"People who bite the hand that feeds them usually lick the boot that kicks them.";"Eric Hoffer"
"The hard path is often the right one. The river teaches more than the shore.";"Maxime Lagace"
"Genius is the ability to act rightly without precedent - the power to do the right thing the first time.";"Elbert Hubbard"
"Making money isn't hard in itself... What's hard is to earn it doing something worth devoting one's life to.";"Carlos Ruiz Zafon"
"If you want more luck, take more chances.";"Brian Tracy"
"The happiest people in the world are those who feel absolutely terrific about themselves.";"Brian Tracy"
"It is not fair to ask of others what you are not willing to do yourself.";"Eleanor Roosevelt"
"People inspire you, or they drain you. Pick them wisely.";"Les Brown"
"What are we doing here, that is the question.";"Samuel Beckett"
"Fear is a natural reaction to moving closer to the truth.";"Pema Chodron"
"The clock indicates the moment...but what does eternity indicate?";"Walt Whitman"
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future.";"Earl Nightingale"
"Always forgive your enemies - nothing annoys them so much. ";"Oscar Wilde"
"When you judge others, you do not define them, you define yourself.";"Earl Nightingale"
"To be heroic is to be courageous enough to die for something; to be inspirational is to be crazy enough to live a little.";"Criss Jami"
"In order to carry a positive action, we must develop here a positive vision.";"Dalai Lama"
"There are only encounters in history. There are no accidents.";"Pablo Picasso"
"Human behavior flows from three main sources: desire, emotion, and knowledge.";"Plato"
"TEAMWORK: the fuel that allows common people attain uncommon results.";"Andrew Carnegie"
"Never allow a person to tell you no who doesn't have the power to say yes.";"Eleanor Roosevelt"
"Who you are is defined by what you're willing to struggle for.";"Mark Manson"
"The most important single ingredient in the formula of success is knowing how to get along with people.";"Theodore Roosevelt"
"Speak when you are angry - and you'll make the best speech you'll ever regret.";"Laurence J. Peter"
"Action may not always bring happiness, but there is no happiness without action.";"William James"
"To succeed takes more than the desire to win. It also takes the acceptance that we could fail.";"Simon Sinek"
"A man with outward courage dares to die: a man with inner courage dares to live.";"Lao Tzu"
"Whatever we plant in our subconscious mind and nourish with repetition and emotion will one day become reality.";"Earl Nightingale"
"Begin at once to live, and count each separate day as a separate life.  ";"Seneca"
"Sometimes you have to lose all you have to find out who you truly are.";"Roy T. Bennett"
"Excuses are the lies you convince yourself are true to avoid proving you are worthy of the gift you were given.";"Steve Harvey"
"If you see a get rich quick scheme, that's someone else trying to get rich off of you.";"Naval Ravikant"
"Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.";"Martin Luther King, Jr."
"Champions keep playing until they get it right.";"Billie Jean King"
"The Law of Concentration states that whatever you dwell upon grows. The more you think about something, the more it becomes part of your reality.";"Brian Tracy"
"If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.";"Steve Maraboli"
"If there's a definition of freedom, I think it's this: living life on your terms.";"Kamal Ravikant"
"The first half of life is devoted to forming a healthy ego, the second half is going inward and letting go of it.";"Carl Jung"
"Spend eighty percent of your time focusing on the opportunities of tomorrow rather than the problems of yesterday.";"Brian Tracy"
"All happiness depends on courage and work.";"Honore de Balzac"
"Surrender to what is. Let go of what was. Have faith in what will be.";"Sonia Ricotti"
"A gentleman is one who puts more into the world than he takes out.";"George Bernard Shaw"
"It doesn't matter where you are, you are nowhere compared to where you can go.";"Bob Proctor"
"There is only one way to happiness and that is to cease worrying about things which are beyond the power or our will.";"Epictetus"
"When uncomfortable, my instinct is not to avoid the discomfort but to become at peace with it.";"Josh Waitzkin"
"Closing your eyes and listening to silence is self-care.";"Maxime Lagace"
"He who has overcome his fears will truly be free.";"Aristotle"
"The more perfect a person is on the outside, the more demons they have on the inside.";"Sigmund Freud"
"Friendship is one of the most tangible things in a world which offers fewer and fewer supports.";"Kenneth Branagh"
"Leadership is solving problems";"Colin Powell"
"We are willing to believe anything other than the truth.";"Carlos Ruiz Zafon"
"Wherever you are is the entry point.";"Kabir"
"Begin now to be what you will be hereafter.";"St. Jerome"
"Make each day your masterpiece.";"John Wooden"
"The way to love anything is to realize that it may be lost.";"Gilbert Chesterton"
"It is the greatest of all mistakes to do nothing because you can only do little; do something.";"Sydney Smith"
"Who looks outside, dreams; who looks inside, awakes.";"Lolly Daskal"
"Life is and will ever remain an equation incapable of solution, but it contains certain known factors. ";"Nikola Tesla"
"Everyone has the right to make his own decisions, but none has the right to force his decision on others.";"Ayn Rand"
"Success is a poor teacher.";"Robert Kiyosaki"
"Humans and prosperity never endure side by side for long.";"Herodotus"
"Genius, in truth, means little more than the faculty of perceiving in an unhabitual way.";"William James"
"The difference between winning and losing is most often not quitting.";"Walt Disney"
"Being ignorant is not so much a shame, as being unwilling to learn.";"Benjamin Franklin"
"Wit is educated insolence.";"Aristotle"
"What keeps life fascinating is the constant creativity of the soul.";"Deepak Chopra"
"Vision is the art of seeing things invisible.";"Jonathan Swift"
"Happiness is a quality of the soul...not a function of one's material circumstances.";"Aristotle"
"Growth comes at the point of resistance.";"Josh Waitzkin"
"Words are the clothing of our thoughts.";"Jonathan Swift"
"Remember to look up at the stars and not down at your feet.";"Stephen Hawking"
"The less people know, the more stubbornly they know it.";"Osho"
"If you love life, don't waste time, for time is what life is made up of. ";"Bruce Lee"
"If you don't find the time, if you don't do the work, you don't get the results.";"Arnold Schwarzenegger"
"Little minds have little worries, big minds have no time for worries.";"Ralph Waldo Emerson"
"Successful people are not without problems. They're simply people who've learned to solve their problems.";"Earl Nightingale"
"Many people spend more time looking at their failures than focusing on their successes.";"Lolly Daskal"
"The difference between impossible and possible is a willing heart.";"Lolly Daskal"
"Don't be afraid of missing opportunities. Behind every failure is an opportunity somebody wishes they had missed.";"Lily Tomlin"
"One loyal friend is worth ten thousand relatives.";"Euripides"
"Our attitude toward life determines life's attitude towards us.";"Earl Nightingale"
"There are no second chances in life, except to feel remorse.";"Carlos Ruiz Zafon"
"Choose to be optimistic, it feels better.";"Dalai Lama"
"Having an open mind is one of the most important qualities we can possess. Once our minds close, we stop evolving.";"Yanni"
"Rudeness is the weak man's imitation of strength.";"Eric Hoffer"
"However difficult life may seem, there is always something you can do and succeed at.";"Stephen Hawking"
"We must embrace pain and burn it as fuel for our journey.";"Kenji Miyazawa"
"The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.";"Winston Churchill"
"Your setback is just a setup for a comeback.";"Steve Harvey"
"If someone betrays you once, it's their fault; if they betray you twice, it's your fault.";"Eleanor Roosevelt"
"Your time is limited, so don't waste it living someone elses. life. Don't be trapped by dogma - which is living with the results of other people's thinking.";"Steve Jobs"
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.";"Colin Powell"
"In order for you to be the BEST you can be for others, first you must be BEST for yourself.";"Jeffrey Gitomer"
"Where does a thought go when it's forgotten?";"Sigmund Freud"
"Do all things with love.";"Og Mandino"
"The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.";"Mark Twain"
"Life is either a daring adventure, or it is nothing.";"Helen Keller"
"What loneliness is more lonely than distrust?";"George Eliot"
"The wise man reads both books and life itself.";"Lin Yutang"
"A man's worth is no greater than his ambitions.";"Marcus Aurelius"
"Don't shortchange yourself when it comes to investing in your own better future.";"Jim Rohn"
